pais,natalidad_promedio,ranking
Guatemala,27.15417391304348,1
Honduras,26.19782608695652,2
Bolivia,24.90921739130435,3
Nicaragua,23.31865217391304,4
Paraguay,22.644000000000002,5
Dominican Republic,21.22926086956522,6
Ecuador,20.23995652173913,7
Panama,20.111652173913043,8
Mexico,19.51117391304348,9
Venezuela,19.48191304347826,10
El Salvador,19.38886956521739,11
Peru,19.33791304347826,12
Colombia,16.705739130434782,13
Argentina,16.541565217391305,14
Brazil,15.243521739130435,15
Costa Rica,14.937217391304348,16
Uruguay,13.465652173913043,17
Chile,12.985,18
Cuba,10.625869565217391,19
