pais,registros,anio_inicio,anio_fin,rango_anios,natalidad_promedio,natalidad_max,natalidad_min,std_dev,ranking_promedio
Guatemala,23,2001,2023,23,27.15417391304348,34.156,20.809,3.8967028329575557,1
Honduras,23,2001,2023,23,26.19782608695652,33.357,21.963,3.4257864080870526,2
Bolivia,23,2001,2023,23,24.90921739130435,29.12,21.247,2.4607109275115415,3
Nicaragua,23,2001,2023,23,23.31865217391304,27.034,19.376,2.311393550705948,4
Paraguay,23,2001,2023,23,22.644000000000002,25.933,19.985,1.433573570423987,5
Dominican Republic,23,2001,2023,23,21.22926086956522,25.069,17.931,1.9116857914462293,6
Ecuador,23,2001,2023,23,20.23995652173913,25.142,15.033,3.2390800809413443,7
Panama,23,2001,2023,23,20.111652173913043,23.22,16.029,2.2479252577492157,8
Mexico,23,2001,2023,23,19.51117391304348,23.779,15.706,2.4983491577107464,9
Venezuela,23,2001,2023,23,19.48191304347826,23.599,15.025,2.7699694437606346,10
El Salvador,23,2001,2023,23,19.38886956521739,25.826,15.758,2.744397388802863,11
Peru,23,2001,2023,23,19.33791304347826,23.028,15.944,2.384065109563983,12
Colombia,23,2001,2023,23,16.705739130434782,21.722,13.475,2.7255335794097504,13
Argentina,23,2001,2023,23,16.541565217391305,18.94,10.926,2.6884464054726496,14
Brazil,23,2001,2023,23,15.243521739130435,19.185,12.322,1.9037629452688323,15
Costa Rica,23,2001,2023,23,14.937217391304348,19.408,10.179,2.5650486431064006,16
Uruguay,23,2001,2023,23,13.465652173913043,15.695,9.871,1.944587257180946,17
Chile,23,2001,2023,23,12.985,15.914,8.963,2.0108676779395065,18
Cuba,23,2001,2023,23,10.625869565217391,12.534,8.662,1.134132600245982,19
